# Rank est utilise pour trier les peintures;;;;;;;;;
#   - '-1' ou pas de valeur, signifie que la date sera utilisee pour le tri (la plus recente en premier);;;;;;;;;
#   - une valeur positive signifie qu'on utilise cette valeur pour le tri (valeurs les plus fortes apparaissent en premier);;;;;;;;;
#;;;;;;;;;
# Status permet par exemple d'indiquer qu'un tableau a ete vendu ou qu'il n'est pas a vendre.;;;;;;;;;
"#   ""vendu"" -> le tableau a ete vendu";;;;;;;;;
"#   ""indisponible"" -> le tableau n'est pas a vendre";;;;;;;;;
#   Si la colonne est vide, le tableau est disponible;;;;;;;;;
#;;;;;;;;;
# Series est utilise pour permettre de grouper des tableaux;;;;;;;;;
#   - un tableau peut appartenir a plusieurs series;;;;;;;;;
#   - dans la colonne series, on peut mettre plusieurs series en separant leurs cles par un espace: par ex, ;;;;;;;;;
"# ""watermirror australia""";;;;;;;;;
#   - lâ€™identifiant de la serie doit etre un mot unique sans espace ou caractere special;;;;;;;;;
#   - l'intitule de la serie (ce qu'on affiche) doit etre defini dans les fichiers messages;;;;;;;;;
#;;;;;;;;;
# Pour ne pas afficher un tableau, il suffit de commenter la ligne correspondante;;;;;;;;;
#;;;;;;;;;
# rank;filename;title;date;height;width;type;status;description;series
#-1;Acrylique/20210624_Lever soleil sur Donazac.jpg;Matin sur Donazac;20210610;28;38;acrylic;;Lever soleil Donazac (11);origine
#-1;Acrylique/20210722_GuillaumePense_Piscine.jpg;Réflexion au bord de piscine;20210710;20;20;acrylic;;Le penseur;origine
-1;Acrylique/20210801_Olen La trouee Donazac.jpg;La trouée du bois;20210810;33;24;acrylic;vendu;(collection privée Paris, FR);origine
#-1;Acrylique/20210815_Polynesie-PascaleEtLuc.jpg;Lagon à  Taha'a;20210815;33;46;acrylic;;Enfants dans le lagon de Polynesie;origine
#-1;Acrylique/20210826_Jeux d eaux Nice_Acrylic.jpg;Miroir d'eau;20210826;12;18;acrylic;;Promenade du Paillon Nice 06;origine
-1;Acrylique/20211003_Luc Planneur.jpg;L'aviateur;20211003;30;40;acrylic;;aérodrome des Planneurs;origine
-1;Acrylique/20211019_Portrait Guillaume.jpg;Guillaume;20211019;33;24;acrylic;indisponible;Guillaume 2ans, doudou et tetine;origine
-1;Acrylique/20211105_Olen en pieds.jpg;Royal;20211105;55;46;acrylic;indisponible;Olen le chien avec sa friandise;origine
-1;Acrylique/20211127_Playing-the-waves.jpg;Jeux de vagues;20211127;45;55;acrylic;;Esterel (84);watermirror
